Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C4, C7",0402,6,4u7,C23733
"C12, C13",0402,2,12p,C1547
"C14, C6",0402,2,100n,C307331
"C3, C5, C8, C9",0402,4,1u,C52923
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",apfel_SOT-23_silkless,15,BAV70_Small,C727123
F1,0603,1,500mA,C883095
J2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,JST-GH,C505023
L1,0402,1,BLM15PX121SN1D,C88970
L2,0603,1,10 uH,C92982
LED1,LED_1206R,1,IND,C2802677
"R1, R2",0402,2,5k1,C25905
"R10, R11, R9",0402,3,1k,C11702
"R3, R7, R8",0402,3,10k,C25744
R4,0402,1,47k,C25792
R5,0402,1,1k5,C25867
R6,0402,1,2k2,C25879
SW1,SW_T1A2QR,1,RST,C100056
U1,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,1,MAX17048,C2682616
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075,C15464
U3,SOT-23-6-routable,1,SRV05-4,C7420376
U4,nRF52840_E73-2G4M08S1C,1,nRF52840_E73-2G4M08S1C,C356849
U5,SOT-363_SC-70-6,1,74LVC1G11,C460525
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 KHz,C55208
