Designator,Mid X,Mid Y,Rotation,Layer
C1,139.846478,-73.630831,180.0,bottom
C10,100.741504,-111.683496,0.0,bottom
C11,100.911501,-108.193495,90.0,bottom
C12,103.316501,-101.378495,180.0,bottom
C13,103.316504,-102.578491,180.0,bottom
C14,72.652003,-105.283088,270.0,bottom
C2,109.211391,-104.583086,0.0,bottom
C3,109.211389,-105.683092,0.0,bottom
C4,106.711388,-108.983089,270.0,bottom
C5,107.811389,-108.983086,270.0,bottom
C6,114.97211,-106.221528,0.0,bottom
C7,114.511391,-108.983091,270.0,bottom
C8,113.411391,-108.98309,270.0,bottom
C9,100.911503,-106.193491,270.0,bottom
D1,68.48475,-83.85175,270.0,bottom
D10,225.64725,-89.804875,270.0,bottom
D11,60.15043,-115.403409,270.0,bottom
D12,97.655149,-115.403409,270.0,bottom
D13,144.68475,-110.644231,270.0,bottom
D14,192.905229,-114.212783,270.0,bottom
D15,230.40975,-112.42675,270.0,bottom
D2,106.58475,-83.85175,270.0,bottom
D3,144.68475,-83.85175,270.0,bottom
D4,182.78475,-83.85175,270.0,bottom
D5,220.88475,-83.85175,270.0,bottom
D6,63.72225,-89.804875,270.0,bottom
D7,101.82225,-89.804875,270.0,bottom
D8,144.68475,-107.202977,270.0,bottom
D9,187.54725,-89.804875,270.0,bottom
F1,141.878478,-74.138831,90.0,bottom
J1,62.625478,-99.608831,90.0,top
J2,129.88925,-102.616,135.0,bottom
J4,135.45225,-98.806,0.0,top
J5,135.47725,-103.378,45.0,top
L1,139.846478,-74.900831,0.0,bottom
L2,101.911503,-109.983086,180.0,bottom
LED1,55.983239,-105.283088,270.0,bottom
MX1,54.19725,-76.708,180.0,top
MX10,235.17225,-76.708,180.0,top
MX11,51.816,-95.758,0.0,top
MX12,73.24725,-95.758,0.0,top
MX13,92.29725,-95.758,0.0,top
MX14,111.34725,-95.758,0.0,top
MX15,130.39725,-95.758,0.0,top
MX16,158.97225,-95.758,0.0,top
MX17,178.02225,-95.758,0.0,top
MX18,197.07225,-95.758,0.0,top
MX19,216.12225,-95.758,0.0,top
MX2,78.00975,-76.708,180.0,top
MX20,237.5535,-95.758,0.0,top
MX21,49.43475,-114.808,180.0,top
MX22,68.48475,-114.808,180.0,top
MX23,87.53475,-114.808,180.0,top
MX24,106.58475,-114.808,180.0,top
MX25,125.63475,-114.808,0.0,top
MX26,163.73475,-114.808,0.0,top
MX27,182.78475,-114.808,180.0,top
MX28,201.83475,-114.808,180.0,top
MX29,220.88475,-114.808,180.0,top
MX3,97.05975,-76.708,180.0,top
MX30,239.93475,-114.808,180.0,top
MX31,144.68475,-114.808,180.0,top
MX32,237.5535,-86.233,0.0,top
MX4,116.10975,-76.708,180.0,top
MX5,135.15975,-76.708,180.0,top
MX6,154.20975,-76.708,180.0,top
MX7,173.25975,-76.708,180.0,top
MX8,192.30975,-76.708,180.0,top
MX9,211.35975,-76.708,180.0,top
R1,149.084876,-73.380972,0.0,bottom
R10,58.183239,-105.283088,180.0,bottom
R11,58.183239,-106.483293,180.0,bottom
R2,149.084874,-74.580974,0.0,bottom
R3,113.911392,-107.383087,180.0,bottom
R4,110.811392,-105.183086,90.0,bottom
R5,107.311392,-107.38309,0.0,bottom
R6,111.911391,-105.183088,90.0,bottom
R7,100.911503,-104.193495,90.0,bottom
R8,102.186501,-104.193492,90.0,bottom
R9,58.183239,-104.082882,180.0,bottom
SW1,70.270751,-105.283088,0.0,bottom
SW2,144.43475,-114.808,0.0,top
U1,115.26139,-104.001425,0.0,bottom
U2,110.611391,-108.483089,0.0,bottom
U3,144.884877,-73.98097,180.0,bottom
U4,90.511393,-105.283088,270.0,bottom
U5,74.587942,-105.283088,270.0,bottom
USB1,144.684876,-66.180971,180.0,bottom
Y1,101.316502,-101.478491,90.0,bottom
