Designator,Mid X,Mid Y,Rotation,Layer
C1,121.328539,-100.012584,180.0,bottom
C2,121.328539,-101.20321,180.0,bottom
D1,73.81875,-83.34375,270.0,bottom
D10,230.98125,-89.296875,270.0,bottom
D11,64.29375,-111.91875,270.0,bottom
D12,102.39375,-111.91875,270.0,bottom
D13,150.01875,-110.136231,270.0,bottom
D14,197.64375,-111.91875,270.0,bottom
D15,235.74375,-111.91875,270.0,bottom
D16,139.303242,-72.032873,180.0,bottom
D2,111.91875,-83.34375,270.0,bottom
D3,150.01875,-83.34375,270.0,bottom
D4,188.11875,-83.34375,270.0,bottom
D5,226.21875,-83.34375,270.0,bottom
D6,69.05625,-89.296875,270.0,bottom
D7,107.15625,-89.296875,270.0,bottom
D8,150.01875,-106.694977,270.0,bottom
D9,192.88125,-89.296875,270.0,bottom
F1,141.684494,-72.032873,180.0,bottom
J1,150.01875,-68.7975,180.0,bottom
MX1,59.53125,-76.2,180.0,top
MX10,240.50625,-76.2,180.0,top
MX11,57.15,-95.25,0.0,top
MX12,78.58125,-95.25,0.0,top
MX13,97.63125,-95.25,0.0,top
MX14,116.68125,-95.25,0.0,top
MX15,135.73125,-95.25,0.0,top
MX16,164.30625,-95.25,0.0,top
MX17,183.35625,-95.25,0.0,top
MX18,202.40625,-95.25,0.0,top
MX19,221.45625,-95.25,0.0,top
MX2,83.34375,-76.2,180.0,top
MX20,242.8875,-95.25,0.0,top
MX21,54.76875,-114.3,180.0,top
MX22,73.81875,-114.3,180.0,top
MX23,92.86875,-114.3,180.0,top
MX24,111.91875,-114.3,180.0,top
MX25,130.96875,-114.3,0.0,top
MX26,169.06875,-114.3,0.0,top
MX27,188.11875,-114.3,180.0,top
MX28,207.16875,-114.3,180.0,top
MX29,226.21875,-114.3,180.0,top
MX3,102.39375,-76.2,180.0,top
MX30,245.26875,-114.3,180.0,top
MX31,150.01875,-114.3,180.0,top
MX32,242.8875,-85.725,0.0,top
MX4,121.44375,-76.2,180.0,top
MX5,140.49375,-76.2,180.0,top
MX6,159.54375,-76.2,180.0,top
MX7,178.59375,-76.2,180.0,top
MX8,197.64375,-76.2,180.0,top
MX9,216.69375,-76.2,180.0,top
R1,141.684494,-70.842247,0.0,bottom
R2,158.353125,-70.842247,180.0,bottom
R3,124.420417,-100.012584,180.0,bottom
SW1,125.611043,-104.77375,90.0,bottom
SW2,122.039165,-104.775088,90.0,bottom
U1,116.551875,-104.775,0.0,bottom
U2,126.20625,-85.725,270.0,bottom
