Designator,Mid X,Mid Y,Rotation,Layer
C1,127.776875,-63.35125,180.0,bottom
C2,122.76375,-82.521875,180.0,bottom
C3,122.76375,-80.140875,0.0,bottom
D1,71.566875,-59.9,270.0,bottom
D10,228.729375,-65.853125,270.0,bottom
D11,62.041875,-88.475,270.0,bottom
D12,100.141875,-88.475,270.0,bottom
D13,147.766875,-86.692481,270.0,bottom
D14,195.391875,-88.475,270.0,bottom
D15,233.491875,-88.475,270.0,bottom
D2,109.666875,-59.9,270.0,bottom
D3,147.766875,-59.9,270.0,bottom
D4,185.866875,-59.9,270.0,bottom
D5,223.966875,-59.9,270.0,bottom
D6,66.804375,-65.853125,270.0,bottom
D7,104.904375,-65.853125,270.0,bottom
D8,147.766875,-83.251227,270.0,bottom
D9,190.629375,-65.853125,270.0,bottom
J1,147.766875,-46.24375,180.0,bottom
J3,139.376875,-75.87625,270.0,top
MX1,57.279375,-52.75625,180.0,top
MX10,238.254375,-52.75625,180.0,top
MX11,54.898125,-71.80625,0.0,top
MX12,76.329375,-71.80625,0.0,top
MX13,95.379375,-71.80625,0.0,top
MX14,114.429375,-71.80625,0.0,top
MX15,133.479375,-71.80625,0.0,top
MX16,162.054375,-71.80625,0.0,top
MX17,181.104375,-71.80625,0.0,top
MX18,200.154375,-71.80625,0.0,top
MX19,219.204375,-71.80625,0.0,top
MX2,81.091875,-52.75625,180.0,top
MX20,240.635625,-71.80625,0.0,top
MX21,52.516875,-90.85625,180.0,top
MX22,71.566875,-90.85625,180.0,top
MX23,90.616875,-90.85625,180.0,top
MX24,109.666875,-90.85625,180.0,top
MX25,128.716875,-90.85625,0.0,top
MX26,166.816875,-90.85625,0.0,top
MX27,185.866875,-90.85625,180.0,top
MX28,204.916875,-90.85625,180.0,top
MX29,223.966875,-90.85625,180.0,top
MX3,100.141875,-52.75625,180.0,top
MX30,243.016875,-90.85625,180.0,top
MX31,147.766875,-90.85625,180.0,top
MX32,240.635625,-62.28125,0.0,top
MX4,119.191875,-52.75625,180.0,top
MX5,138.241875,-52.75625,180.0,top
MX6,157.291875,-52.75625,180.0,top
MX7,176.341875,-52.75625,180.0,top
MX8,195.391875,-52.75625,180.0,top
MX9,214.441875,-52.75625,180.0,top
R1,139.4325,-47.99375,0.0,bottom
R2,156.10125,-47.99375,180.0,bottom
R3,127.086875,-75.83725,90.0,bottom
SW1,147.766875,-90.85625,270.0,top
SW2,100.141875,-81.33125,90.0,bottom
U1,114.429375,-81.33125,90.0,bottom
U2,123.954375,-62.28125,270.0,bottom
